1label,1real,1a,1b,1c,1d,2label,2real,2a,2b,2c,2d,3label,3real,3a,3b,3c,3d,4label,4real,4a,4b,4c,4d,5label,5real,5a,5b,5c,5d
bass guitarist,1,Paul Landers,Paul McCartney,Pavel Artemyev,Rodrigo González,cinematic fairy tale,1,Arabela,Me Too,Tangled,"Mary Poppins, Goodbye",architect,1,Andrey Makarevich,Thomas Jefferson,Grand Duke Vladimir Alexandrovich of Russia,Michelangelo,horror film,1,X,Nope,The Addams Family,Halloween,multiplayer video game,0,Capitoline Wolf,Kings of Strategy,Call of Duty: Black Ops Cold War,World Stage
tennis player,1,Roger Federer,Boris Becker,Alexander Zverev,Novak Djokovic,anime film,1,Howl's Moving Castle,Neon Genesis Evangelion: Death & Rebirth,Earwig and the Witch,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,Russians,1,Lev Yashin,Vladimir Putin,East Slavs,Azerbaijan,horror literature,0,Neue Deutsche Härte,Dragon Style,Natalia Programmer,Bram Stoker,basketball player,1,Brittney Griner,Juan Hernangómez,Shaquille O'Neal,Pat Riley
landscape painter,1,Victor Popkov,Thomas Gainsborough,Caspar David Friedrich,J. M. W. Turner,basketball player,1,Glory Johnson,Kobe Bryant,Kevin Nash,Kareem Abdul-Jabbar,rapper,0,Oxxxymiron,Maria Zhivopiseva,Journey into Animation,Jennifer Connelly,African Americans,1,Tupac Shakur,Michael Jackson,Christopher Scarver,Morgan Freeman,basketball player,1,Shaquille O'Neal,Stephen Curry,Larry Bird,Jim Caviezel
plant,1,Tracheophyta,root,Amaranthaceae,carnivorous plant,African Americans,1,Jada Pinkett Smith,Will Smith,Tupac Shakur,Denzel Washington,guitarist,1,Paul Bettany,Freddie Mercury,Paul McCartney,Taylor Swift,television film,1,television pilot,Werewolf by Night,Blue Lagoon: The Awakening,"Mary Poppins, Goodbye",music genre,0,hip hop music,Eva Glamorous,Beyond Role,Home Alone
animal,0,domesticated animal,Shadows of Crime,To be on Top,Panda Virusovskaya,bass guitarist,1,Roger Taylor,Sid Vicious,Flea,Gleb Samoylov,drummer,1,Ringo Starr,Tommy Lee,Bela B,Paul McCartney,landscape painter,1,Joseph Wright of Derby,J. M. W. Turner,John Martin,Jacob van Ruisdael,BBC 100 Women,1,Michelle Yeoh,Sanna Marin,Ming-Na Wen,Bella Thorne
economist,1,Mikhail Mishustin,Petro Poroshenko,Olena Kravets,Sergey Shoygu,English people,1,Harry Potter,Australia,Roger Moore,Clint Eastwood,historical film,1,Das Boot,Union of Salvation,Valkyrie,The Last Duel,romance film,1,365 Days: This Day,After We Fell,After We Collided,Gone with the Wind,Italians,0,United States of America,Johnson,Funny Neighbors,Caravaggio
scientist,1,Spider-Man,Max Born,Sergei Korolev,Leonardo da Vinci,actor,1,Zendaya,Ralph Fiennes,Maurizio D'Ancora,Talulah Riley,horror film,0,Alien: Covenant,Star Trek: Strange New Worlds,Journey into Animation,Alexander Developersky,historical film,1,The King,Valkyrie,Midway,Thirteen Lives,Chinese people,1,Myanmar,Chinese Americans,Chinese cuisine,Australia
war film,1,Expend4bles,All Quiet on the Western Front,The Hunger Games: Mockingjay – Part 2,Union of Salvation,BBC 100 Women,1,Priyanka Chopra,Jane Fonda,Rita Moreno,Ming-Na Wen,Germans,0,Fundamentals of Political Analysis,Poland,Ivan Brown,Tommy Lee,romance film,1,"The Karate Kid, Part III",Top Gun,Asteroid City,After Ever Happy,sport film,1,The Queen's Gambit,Point Break,Rush,Space Jam: A New Legacy
plant,1,evergreen plant,root,carnivorous plant,seed plants,philosopher,1,Leon Trotsky,Richard Harris,Aleksandr Dugin,Thomas Jefferson,bass guitarist,0,Secret Games,Isaac Newton,Gene Simmons,Sweet Holidays,anime film,1,The Boy and the Heron,The End of Evangelion,Howl's Moving Castle,Evangelion: 3.0+1.0 Thrice Upon a Time,television film,1,Halloween with the New Addams Family,Home Alone: The Holiday Heist,For Your Love Only,Blue Lagoon: The Awakening
philosopher,1,Leo Tolstoy,Alexander Hamilton,Richard Harris,Mahatma Gandhi,landscape painter,0,Carl Gustav Carus,"Washington, D.C.",Great Stories,Hunt for the Outcast,plant,1,botany,C4 carbon fixation,common sunflower,root,Christmas film,1,On Her Majesty's Secret Service,Three Nuts for Cinderella,The Guardians of the Galaxy Holiday Special,Home Alone 4,adventure film,1,Jurassic World Dominion,The King's Man,Fantastic Beasts: The Secrets of Dumbledore,Thor: Love and Thunder
basketball player,0,Hatsune Miku: Project DIVA,Mahershala Ali,Arthur Laughs,Curse of the Tomb,crime film,1,Murder on the Orient Express,Once Upon a Time in Hollywood,Red Dragon,Amsterdam,horror literature,1,Stephen King,Gothic literature,Anne Rice,Ray Bradbury,crime film,1,The Crown,The Dark Knight,Batgirl,Death on the Nile,Indians,1,Indigenous peoples of the Americas,Native Americans in the United States,Anish Kapoor,Indus River
political scientist,1,Zbigniew Brzezinski,Henry Kissinger,Condoleezza Rice,Marina Litvinovich,guitarist,1,Yegor Letov,Tommy Lee,Chris Martin,Johnny Depp,economist,1,Mikhail Mishustin,Eduardo Saverin,Viktor Yanukovych,Olena Kravets,war film,1,Dunkirk,Union of Salvation,Wonder Woman,Apocalypse Now,action game,0,Kingdom Hearts,The Walking Dead,Maria Schultz,Dragon Style
3D film,1,Justice League,Fantastic Beasts: The Crimes of Grindelwald,Pirates of the Caribbean: Dead Men Tell No Tales,Aquaman,landscape painter,1,Thomas Gainsborough,Fritz Mackensen,John Martin,landscape art,science fiction television program,1,Star Trek: The Original Series,The Mandalorian,Twin Peaks,Lost,stand up comedian,1,Benjamin Walker,Leonid Yarmolnik,Maxim Galkin,John Mulaney,comedy television series,0,Maxim Engineers,Andrey Biologists,Jurassic World Dominion,The Transformers
horror literature,1,Tabitha King,Roald Dahl,Chuck Palahniuk,Wolfgang Hohlbein,tennis player,1,Marat Safin,Andre Agassi,Steffi Graf,Daniil Medvedev,multiplayer video game,1,Return to Castle Wolfenstein,Red Dead Redemption 2,Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare II,women's rights activist,0,Magical Journey,Betty Ford,Dragon Style,alternative rock,Germans,1,Poland,Germanic peoples,Joachim von Ribbentrop,German
single player video game,1,God of War Ragnarök,The Last of Us Part II,Need for Speed: Hot Pursuit,Uncharted: Drake's Fortune,engineer,0,Electro Chaos,Alexey Guitarov,Bernard Arnault,Fantastic Beasts: The Crimes of Grindelwald,philosopher,1,John Paul II,Karl Marx,Marcus Aurelius,Mao Zedong,U.S. state,1,Wisconsin,Wyoming,California,Virginia,Russians,1,Azerbaijan,Andrei Sakharov,Russian,Russia
rapper,1,Shia LaBeouf,Takeoff,Kanye West,Dr. Dre,strategy video game,1,Clash Royale,World of Tanks Blitz,Neighbours from Hell,Honkai: Star Rail,biologist,1,Nell Newman,Richard Dawkins,Katherine Oppenheimer,Nikolai Vavilov,mathematician,0,Thunder Force,Werner Heisenberg,Barack Obama,Maria Stringistova,programmer,1,Steve Wozniak,Jack Dorsey,Aleksandr Tsoi,Elon Musk
children's film,1,Fantastic Beasts and Where to Find Them,Charlie and the Chocolate Factory,Harry Potter and the Philosopher's Stone,Space Jam: A New Legacy,cinematic fairy tale,1,Coraline,Brother Bear,Lilac Ball,Tangled,animated film,1,DreamWorks Animation,Walt Disney,The Grinch,Turning Red,animal,0,Roses and Romance,Japan,Funny Adventures,invertebrate,3D film,1,Avatar,Pirates of the Caribbean: Dead Men Tell No Tales,Star Wars Episode VII: The Force Awakens,Justice League
basketball player,0,The Call of Cthulhu,Hidden World of Predators,Juan Hernangómez,Stars of the Women's World,horror film,1,Doctor Strange in the Multiverse of Madness,Unbreakable,X,Resident Evil: Retribution,pianist,1,Flea,Jared Leto,Paul McCartney,Lenny Kravitz,animated film,1,Walt Disney Animation Studios,Studio Ghibli,The Bad Guys,Clancy Brown,action game,1,The Last of Us Part II,action-adventure game,Doom 3,Kingdom Hearts
English people,0,Call of the Wild,action-adventure game,Lucian Freud,Chronicles of Horror,mathematician,1,Joan Clarke,Grigori Perelman,Mikhail Vassilyevich Lomonosov,Arkady Volozh,sports video game,1,racing video game,Tony Hawk's,Wii Sports Resort,FIFA 23,women's rights activist,1,Friedrich Engels,Virginia Woolf,Maria Shriver,Eleanor Roosevelt,romance film,1,Storm of Love,The French Dispatch,The Divergent Series: Insurgent,Asteroid City
museum of modern art,1,Museum of Modern Art,Moderna Museet,Pitti Palace,MAXXI – National Museum of the 21st Century Arts,stand up comedian,1,Sergey Pakhomov,Pete Davidson,Benjamin Walker,Jenny Slate,anime film,0,Donald Trump,David Stringer,Vladimir Academicov,The Boy and the Heron,single player video game,1,Assassin's Creed Valhalla,Uncharted: Drake's Fortune,Call of Duty: Modern Warfare,Call of Duty: Vanguard,children's film,1,Harry Potter and the Chamber of Secrets,Toy Story 4,Space Jam: A New Legacy,Fantastic Beasts and Where to Find Them
athlete,1,Brandon Curry,Barry Bonds,Joey Kelly,Nikolai Fomenko,crime film,1,Colin Farrell,The Godfather Part II,Amsterdam,Kingsman: The Golden Circle,President of the United States,0,Dmitry Formulary,Tommy Lee,John F. Kennedy,Eternal Love,sports video game,1,Wii Sports Resort,Tony Hawk's Pro Skater 2,Tony Hawk's Pro Skater 3,Tony Hawk's Pro Skater 4,plant,1,fungus,deciduous plant,seed plants,Pimpinella anisum
Turks,1,Karamanlides,Bahaeddin Şakir,Turkey,Bibras Natcho,Russians,0,Rusyns,Condoleezza Rice,Igor Coders,Colorful World of Depth,drummer,1,Travis Barker,Lars Ulrich,Phil Collins,Dave Grohl,programmer,1,Mark Zuckerberg,Julian Assange,Eugen Rochko,Ada Lovelace,engineer,1,Mikhail Mishustin,George Washington,Jimmy Carter,Oleksandr Turchynov
BBC 100 Women,1,Selma Blair,Olena Zelenska,Michelle Yeoh,Ursula von der Leyen,strategy video game,1,World of Tanks Blitz,Clash Royale,"Warhammer 40,000: Dawn of War III",UFO: Enemy Unknown,Internet meme,1,@world_record_egg,shock site,Floppa,Morbius,basketball player,1,Jerry Buss,Juan Hernangómez,Nick Nolte,Stephen Curry,crime television series,0,Asian people,Johnson,Dahmer – Monster: The Jeffrey Dahmer Story,Rises of Innovations
actor,1,Vanessa Paradis,Valery Todorovsky,Maurizio D'Ancora,Olivia Wilde,horror film,1,Split,Sony's Spider-Man Universe,Guillermo del Toro,Halloween,architect,0,Albert Speer,After We Collided,Impulse of Creativity,Aylın Öztürk,bass guitarist,1,Paul McCartney,Gene Simmons,Jermaine Jackson,Sid Vicious,crime film,1,The Gentlemen,The Godfather,Kingsman: The Golden Circle,The Crown
music genre,1,Neue Deutsche Härte,new wave,post-punk,Krautrock,war film,0,Network Adventure,flavonoid,War,Ivan Musical,music genre,1,alternative rock,Eurodance,Krautrock,shoegaze,music video game,1,Just Dance 2020,osu!,Kingdom Hearts: Melody of Memory,Just Dance,Christmas film,1,The Guardians of the Galaxy Holiday Special,The Santa Clauses,Kennedy Center Honors,Eyes Wide Shut
sport film,0,Hatsune Miku: Project DIVA,Path to Victory,Secrets of Hidden Truths,Jackass 3D,actor,1,Tom Holland,Talulah Riley,Volodymyr Zelenskyy,Amber Heard,crime film,1,Casino Royale,Amsterdam,Kingsman: The Golden Circle,Colin Farrell,sculpture,1,Venus de Milo,art of sculpture,Kyffhäuser Monument,Moses,city in the United States,1,Atlanta,New York City,Houston,Anchorage
television film,0,television pilot,Texas,Roger Moore,Arthur Laughs,music video game,1,Elite Beat Agents,Patapon 2,Space Channel 5,Guitar Hero,city in the United States,1,New Orleans,"Washington, D.C.",Seattle,Miami,political scientist,1,Bhimrao Ramji Ambedkar,Voltaire,Aleksandr Dugin,Dinesh D'Souza,crime film,1,The Dark Knight,Casino Royale,Inventing Anna,Death on the Nile
animated film,1,DreamWorks Animation,Turning Red,Clancy Brown,Kvartal 95,historical film,0,Legendary Root,For Your Love Only,Sukhita Sharma,Land of Legends,rapper,1,Dr. Dre,Shia LaBeouf,Jamie Foxx,H.P. Baxxter,sculpture,1,Venus of Willendorf,Laocoön and His Sons,Hermannsdenkmal,Nefertiti Bust,animated film,1,Turning Red,Spider-Man: Into the Spider-Verse,Star Wars: The Clone Wars,Minions: The Rise of Gru
mountain,1,Mount Athos,Mont Blanc,Panthera uncia,Denali,African Americans,1,Serena Williams,Confederate States,Jimi Hendrix,United States of America,multiplayer video game,1,Call of Duty: Modern Warfare II,Call of Duty: Modern Warfare,Call of Duty: Modern Warfare 3,Call of Duty: Vanguard,anime film,1,Howl's Moving Castle,The Wind Rises,The Boy and the Heron,Belle,adventure film,0,Tropical Rhythm,Black Adam,SingStar,Beyond Role
romance film,1,Hacksaw Ridge,A Star Is Born,Brokeback Mountain,The Grand Budapest Hotel,scientist,1,The Doctor,Spider-Man,Alexander von Humboldt,Operation Paperclip,guitarist,0,Eduardo Saverin,Adam Sandler,Stars of the Women's World,World Stage,cinematic fairy tale,1,Me Too,A Night Before Christmas,Arabian Nights,Arabela,horror film,1,Alien: Covenant,Hannibal,Prometheus,Alien
mathematician,1,John Forbes Nash,Boris Berezovsky,Isaac Newton,Lee Hsien Loong,athlete,1,Oleg Taktarov,Tyson Fury,Barry Bonds,Vladimir Turchinsky,horror film,1,Addams Family Values,X,Resident Evil: Retribution,Resident Evil: Apocalypse,music video game,1,Frets on Fire,PaRappa the Rapper,osu!,Patapon 3,bass guitarist,0,Galactic Discoveries,Alexander Keyboardist,Gene Simmons,Eldzhey
action game,0,Keys to Power,Death Stranding,Magical Journey,Call of Duty: Modern Warfare,museum of modern art,1,Miramare Castle,Pinacoteca di Brera,Galleria Palatina,MAXXI – National Museum of the 21st Century Arts,science fiction television program,1,Lost,Ahsoka,Dark,Westworld,mountain,1,Mona Lisa,Mount Athos,Mount Everest,Tambora,mountain,1,Denali,Montana,Panthera uncia,Seven Summits
Christmas film,1,Eyes Wide Shut,Kennedy Center Honors,Home Alone 4,Die Hard 2,animated film,1,The Bad Guys,Turning Red,DC League of Super-Pets,Walt Disney,action game,1,action-adventure game,God of War: Chains of Olympus,Resident Evil Village,Death Stranding,computer scientist,1,Arkady Volozh,Eduardo Saverin,Mark Zuckerberg,Sudha Murthy,anime film,0,Howl's Moving Castle,Kourtney Kardashian,Dmitry Landscapes,Eternal Love
Internet meme,1,Rickrolling,ahegao,Will Smith–Chris Rock slapping incident,lean,biologist,1,Lizard,Carl Linnaeus,Stephen Hillenburg,Anne Wojcicki,mountain,0,Impulse of Creativity,Andrey Biologists,Mount Everest,Johnny Depp,drama television series,1,The Walking Dead,The Book of Boba Fett,Brigada,The Crown,fashion designer,1,Ashley Biden,Rooney Mara,Milla Jovovich,Jennifer Lopez
scientist,0,"Frankenstein; or, The Modern Prometheus",Simulation of Sporting Achievements,Flower Inspiration,Dr. Seuss' How the Grinch Stole Christmas,bass guitarist,1,George Harrison,Natalia Chumakova,Rodrigo González,Pavel Artemyev,action film,1,Spider-Man: No Way Home,The Batman,Bullet Train,Avengers: Endgame,music genre,1,new wave,Krautrock,electronic dance music,punk rock,jazz musician,1,Phil Collins,Emin Agalarov,Charlie Watts,Clint Eastwood
mystery film,1,Murder on the Orient Express,Unbreakable,Blade Runner 2049,Get Out,3D film,0,Minions: The Rise of Gru,Star of Christmas,Tennis Mastery,Call of Duty: Vanguard,crime film,1,Brother 2,The Godfather,Casino Royale,Knives Out,Americans,1,Ava Gardner,African Americans,John D. Rockefeller,J. K. Simmons,animated film,1,Walt Disney Animation Studios,Minions: The Rise of Gru,DreamWorks Animation,Star Wars: The Clone Wars
scientist,1,Leonhard Euler,Sergei Korolev,Operation Paperclip,"Frankenstein; or, The Modern Prometheus",women's rights activist,1,Betty Ford,Gudrun Ensslin,Sophia Perovskaya,Bhimrao Ramji Ambedkar,Indians,0,Thunder Force,Cargo Notes,Punjabi,Julian Assange,animal,1,Cryptoprocta ferox,dinosaur,carnivore,domesticated animal,horror literature,1,R. L. Stine,The Call of Cthulhu,H. P. Lovecraft,Ray Bradbury
cinematic fairy tale,1,A Night Before Christmas,Coraline,Arabela,Beauty and the Beast,sport film,1,Foxcatcher,Rush,Ice 2,Moneyball,African Americans,0,Natalia Programmer,Roses and Romance,Linda Lovelace,Confederate States,pianist,1,Brian May,John Lennon,Richard Wagner,Chris Cornell,war film,1,All Quiet on the Western Front,Inglourious Basterds,Rogue One,Guy Ritchie's The Covenant
landscape painter,1,Caspar David Friedrich,Emil Jakob Schindler,J. M. W. Turner,Jacob van Ruisdael,Germans,1,Germany,Ludwig van Beethoven,Joachim von Ribbentrop,Gal Gadot,action film,1,Top Gun: Maverick,Black Panther: Wakanda Forever,Marvel Cinematic Universe,The Batman,crime television series,0,Rainbow Waves,Breaking Bad,Legends of Time,Sanna Marin,Indians,1,vagina dentata,Indus River,Anglo-Indian people,king asleep in mountain
television film,1,Addams Family Reunion,Harry Potter 20th Anniversary: Return to Hogwarts,All Quiet on the Western Front,Earwig and the Witch,war film,1,The Hunger Games: Mockingjay – Part 2,Wonder Woman 1984,War for the Planet of the Apes,Hotsunlight,scientist,0,Elena Genetics,Battle for Freedom,Zack Snyder,Mahershala Ali,sport film,1,Foxcatcher,The Cannonball Run,Winning Time: The Rise of the Lakers Dynasty,The Queen's Gambit,comedy television series,1,Peacemaker,Shameless,The Fall Guy,Supernatural
English people,1,George Orwell,Lucian Freud,William Blake,Roger Moore,mountain,0,Roses and Romance,Tambora,Titanic,Treasures of the Cursed Island,television film,1,Sharknado 5: Global Swarming,For Your Love Only,Earwig and the Witch,Titanic,sculpture,1,Kyffhäuser Monument,Bacchus,Capitoline Wolf,death mask,cinematic fairy tale,1,The Little Mermaid,Beauty and the Beast (1991 film),Cinderella,Three Nuts for Cinderella
architect,1,Michelangelo,Vitaly Kaloyev,Albert Speer,Vyacheslav Butusov,city in the United States,1,Boston,Seattle,San Francisco,Los Angeles,jazz musician,0,Steve Jobs,Clint Eastwood,Hidden World of Predators,Melodic Worldviews,political scientist,1,Voltaire,Alexander Boroday,Olha Shariy,Janine Wissler,historical film,1,The Last Duel,Oppenheimer,Thirteen Lives,Amsterdam
multiplayer video game,1,League of Legends,Dark Souls III,Minecraft,Call of Duty: Black Ops,drummer,1,Tommy Lee,Varg Vikernes,Christoph Schneider,Paul McCartney,drama television series,0,Taylor Swift,Friedrich Bayer,How I Met Your Mother,Elena Architecturova,Chinese people,1,Overseas Chinese,Chinese Americans,Chinese cuisine,foot binding,crime television series,1,True Detective,Breaking Bad,Twin Peaks,The Sopranos
anime film,1,Princess Mononoke,Your Name.,Ghost in the Shell,Spirited Away,African Americans,1,Confederate States,Venus Williams,United States of America,Kamala Harris,political scientist,1,Olha Shariy,Klara Geywitz,Marina Litvinovich,Condoleezza Rice,music video game,1,Just Dance 2022,Sayonara Wild Hearts,Guitar Hero,Elite Beat Agents,programmer,0,Guardians of the Galaxy Vol. 2,Anatoly Architect,Elon Musk,Ciao Yue
cinematic fairy tale,1,"Mary Poppins, Goodbye",Paddington,Beauty and the Beast,Beauty and the Beast (1991 film),English people,1,George Orwell,Dr. Livesey,Tom Hardy,Clint Eastwood,tennis player,1,John McEnroe,Marat Safin,Roger Federer,Boris Becker,African Americans,0,Commander Simulator,Panda Virusovskaya,Denzel Washington,Sacramento,action film,1,Thor: Love and Thunder,Top Gun,Marvel Cinematic Universe,The King's Man
pianist,1,Jamie Foxx,Taylor Swift,Lenny Kravitz,Flea,English people,1,Dr. Livesey,Isaac Newton,Angel Coulby,Anya Taylor-Joy,actor,1,Jennifer Connelly,Till Lindemann,Vanessa Paradis,Ralph Fiennes,guitarist,1,Yegor Letov,Harry Styles,Jesse Plemons,Viktor Tsoi,tennis player,0,Kings of Crime,Guardians of the Galaxy Vol. 3,Venus Williams,Era of Champions
spy film,1,xXx,No Time to Die,Spectre,Kingsman: The Golden Circle,martial arts film,0,The Dark Knight,The Karate Kid,Battle on the Court,David Stringer,sportsperson,1,Amandine Henry,Vincent Jay,Evan Fournier,Alex Shibutani,actor,1,Amber Heard,Jennifer Connelly,Donald Trump,Priscilla Presley,historical film,1,The Passion of the Christ,The King,Thirteen Lives,Amsterdam
action game,0,Electro Chaos,Doom 3,Chuck Norris facts,Kings of Strategy,basketball player,1,LeBron James,Kareem Abdul-Jabbar,Larry Bird,Jerry Buss,engineer,1,George Washington,Mikhail Fridman,Larry Page,Leonid Kuchma,music video game,1,PaRappa the Rapper,Guitar Hero,Sayonara Wild Hearts,Elite Beat Agents,African Americans,1,Jimi Hendrix,Kanye West,Denzel Washington,Confederate States
bass guitarist,1,Jermaine Jackson,Sid Vicious,Pavel Artemyev,George Harrison,architect,1,Andrey Makarevich,Yahya Abdul-Mateen II,Alfred Rosenberg,Albert Speer,action game,1,Counter-Strike: Global Offensive,Bayonetta,God of War: Chains of Olympus,Ratchet & Clank: Rift Apart,museum of modern art,1,National Museum of Capodimonte,Gallerie dell'Accademia,Museum of Modern Art,Miramare Castle,crime television series,0,Code Black,Peter Thiel,Criminal Minds,Streets of Hopelessness
museum of modern art,1,Giardino dei Tarocchi,Peggy Guggenheim Collection,Museum of Modern Art,Palace of Caserta,historical film,1,Midway,Oppenheimer,Champion of the World,Oliver Reed,action film,1,The Batman,Thor: Love and Thunder,Spider-Man: No Way Home,Marvel Cinematic Universe,tennis player,1,Anna Kournikova,Steffi Graf,Boris Becker,John McEnroe,mountain,0,Jerry Buss,Path of Ascension,Enchanted Forest,Seven Summits
war film,1,All Quiet on the Western Front,Guy Ritchie's The Covenant,Captain America: The First Avenger,Downfall,historical film,0,Colorful Tales,Thomas Brodie-Sangster,The Hound of the Baskervilles,Illusions in Three Dimensions,sport film,1,Winning Time: The Rise of the Lakers Dynasty,Moneyball,Days of Thunder,Chariots of Fire,horror literature,1,Neil Gaiman,New Watch,Stephen King,Gothic literature,Russians,1,Rusyns,Andrei Sakharov,Vladimir Putin,Denis Pushilin
Russians,0,Path to Victory,Rusyns,Dark Horror,Emil i Lönneberga,music genre,1,alternative rock,psychedelic rock,rock music,hip hop music,horror film,1,The Addams Family,Unbreakable,Alien,Morbius,television film,1,Werewolf by Night,Die Wannseekonferenz,For Your Love Only,Hitler: The Rise of Evil,guitarist,1,Paul McCartney,Richard Kruspe,Chris Martin,Pavel Maykov
city in the United States,1,Boston,New York City,Los Angeles,New Orleans,President of the United States,0,United States of America,Secret Games,California,Clara Zetkin,bass guitarist,1,Flea,Thomas Brodie-Sangster,Brian Wilson,Bella Thorne,scientist,1,Galileo Galilei,Operation Paperclip,Mikhail Vassilyevich Lomonosov,Max Born,basketball player,1,Michael Jordan,Tom Selleck,Shaquille O'Neal,Kobe Bryant
biologist,1,Anne Wojcicki,Trofim Lysenko,Katherine Oppenheimer,Nell Newman,Internet meme,1,Rickrolling,Chuck Norris,list of Internet phenomena,Will Smith–Chris Rock slapping incident,anime film,1,Spirited Away,The Wind Rises,Your Name.,Earwig and the Witch,stand up comedian,1,Russell Brand,Garik Martirosyan,Jenny Slate,Stephen Merchant,television film,0,Beautiful Venice,Secrets of Hidden Truths,Arabian Nights,Descendants
single player video game,1,Elden Ring,The Secret of Monkey Island,Need for Speed: Hot Pursuit,Call of Duty: Modern Warfare II,economist,0,Contemporary Exhibition,Lonely Hero,Mikhail Mishustin,Whiplash,sculpture,1,Pietà,crystal skull,Sheela na gig,Nefertiti Bust,athlete,1,Toni Schumacher,Vladimir Turchinsky,Gustav Schwarzenegger,Katerina Tikhonova,children's film,1,Emil i Lönneberga,Minions,Harry Potter and the Philosopher's Stone,Home Alone
African Americans,1,Denzel Washington,Barack Obama,Christopher Scarver,Will Smith,rapper,0,coach,John Cena,Professional Sports,Ivan Carver,economist,1,Mikhail Mishustin,Mikhail Gorbachev,Petro Poroshenko,Sergey Shoygu,strategy video game,1,UFO: Enemy Unknown,real-time strategy,Neighbours from Hell 2: On Vacation,Worms,martial arts film,1,Kill Bill Volume 2,The Karate Kid Part II,Everything Everywhere All at Once,Jack Reacher
Indians,1,Punjabi,Indigenous peoples of the Americas,Native Americans in the United States,Indus River,sports video game,1,AEW Fight Forever,racing video game,Mario,PainStation,crime television series,0,Grimes,Chronicles of Horror,Elena Technica,Breaking Bad,anime film,1,Castle in the Sky,Spirited Away,Ghost in the Shell,Belle,fashion designer,1,Hilary Duff,Milla Jovovich,Kourtney Kardashian,Akshata Murty
painter,1,Jared Leto,Viktor Tsoi,Alexandra Feodorovna (Alix of Hesse),John Lennon,crime film,1,Red Dragon,The Gentlemen,Once Upon a Time in Hollywood,Kingsman: The Golden Circle,war film,1,Expend4bles,Hotsunlight,The Battle at Lake Changjin II,Inglourious Basterds,guitarist,1,Harry Styles,River Phoenix,Taylor Swift,Paul Bettany,cinematic fairy tale,0,The Little Mermaid,Dark Horror,Call of the Wild,MAXXI – National Museum of the 21st Century Arts
sculpture,0,Lee Hsien Loong,Pietà,Anna Gender,"Smile, It's Life",anime film,1,Ghost in the Shell,Your Name.,The Boy and the Heron,Castle in the Sky,music video game,1,Hatsune Miku: Project DIVA,Frets on Fire,Just Dance,Patapon 2,drama television series,1,Dark,How I Met Your Mother,House of the Dragon,Peaky Blinders,engineer,1,Elon Musk,Mikhail Fridman,James Cameron,Bernard Arnault
animated film,1,Hotel Transylvania: Transformania,Sing 2,Frozen II,The Bad Guys,mystery film,1,Where the Crawdads Sing,Enola Holmes,Enola Holmes 2,Don't Worry Darling,fashion designer,1,Akshata Murty,Kourtney Kardashian,Guccio Gucci,Heidi Klum,sport film,1,Jackass 3D,Foxcatcher,Rush,Chariots of Fire,horror film,0,Doge,Tennis Mastery,The Addams Family,Natalia Programmer
horror film,1,Alien: Covenant,Addams Family Values,Unbreakable,Hannibal,spy film,0,xXx,Julian Assange,Andrey Coderov,Legendary Root,rapper,1,August Alsina,Joaquin Phoenix,Jamie Foxx,Oxxxymiron,Germans,1,Gal Gadot,Poland,German,Austria,African Americans,1,Michael Jackson,Will Smith,Venus Williams,Kanye West
painter,1,Katherine García,Viggo Mortensen,"Albert, Prince Consort",Sarah Chatto,sculpture,1,Venus of Willendorf,terracotta,The Gates of Hell,crystal skull,horror film,0,Alexey Guitarov,Spider-Man: Homecoming,Alien: Covenant,Alexander Thinker,action film,1,The Marvels,Top Gun,Avatar: The Way of Water,Bullet Train,crime television series,1,Twin Peaks,The Blacklist,The Boys,The Sopranos
action game,1,action-adventure game,survival game,Counter-Strike: Global Offensive,The Last of Us Part II,biologist,0,Hidden World of Predators,Maria Vorontsova,Wii Sports Resort,Alexey Scholarov,sculpture,1,Kyffhäuser Monument,art of sculpture,Victory Arch,Pietà,music video game,1,Beat Saber,Hatsune Miku: Project DIVA,Guitar Hero III: Legends of Rock,osu!,women's rights activist,1,Linda Lovelace,Clara Zetkin,Friedrich Engels,Virginia Woolf
action film,1,Avengers: Endgame,Jurassic World Dominion,Guardians of the Galaxy Vol. 3,Top Gun: Maverick,drama television series,1,Game of Thrones,WandaVision,House of the Dragon,Silver Spoon,pianist,1,Taylor Swift,Jared Leto,David Bowie,Jon Bon Jovi,sculpture,0,Anatoly Architect,Fallen Astronaut,Guardians of the Galaxy Vol. 2,Elena Rappinskaya,Chinese people,1,Australia,Japan,Indonesia,Myanmar
music genre,1,schlager music,heavy metal,new wave,Eurodance,sculpture,1,The Gates of Hell,Zbruch Idol,Victory Arch,Venus de Milo,Turks,1,Asian people,2016 Turkish coup d'état attempt,The Turk,Mesut Özil,museum of modern art,0,Palo Alto,Commander Simulator,Pinacoteca di Brera,Hunt for the Outcast,historical film,1,Oppenheimer,Kingdom of Heaven,The King,Das Boot
