answer	score	topic	URI
John McEnroe	0.452	tennis player	http://www.wikidata.org/entity/Q16474
Andre Agassi	0.375	tennis player	http://www.wikidata.org/entity/Q7407
Rafael Nadal	0.326	tennis player	http://www.wikidata.org/entity/Q10132
Roger Federer	0.317	tennis player	http://www.wikidata.org/entity/Q1426
Anna Kournikova	0.098	tennis player	http://www.wikidata.org/entity/Q131120
Novak Djokovic	0.000	tennis player	http://www.wikidata.org/entity/Q5812
Maria Sharapova	0.000	tennis player	http://www.wikidata.org/entity/Q11666
Steffi Graf	0.000	tennis player	http://www.wikidata.org/entity/Q11662
Boris Becker	-0.021	tennis player	http://www.wikidata.org/entity/Q76334
Andy Murray	-0.081	tennis player	http://www.wikidata.org/entity/Q10125
Daniil Medvedev	-0.250	tennis player	http://www.wikidata.org/entity/Q21622022
Marat Safin	-0.385	tennis player	http://www.wikidata.org/entity/Q133318
Alexander Zverev	-0.500	tennis player	http://www.wikidata.org/entity/Q13990552
George VI	-0.974	tennis player	http://www.wikidata.org/entity/Q280856
Steve Wozniak	0.837	programmer	http://www.wikidata.org/entity/Q483382
Bill Gates	0.500	programmer	http://www.wikidata.org/entity/Q5284
Mark Zuckerberg	0.429	programmer	http://www.wikidata.org/entity/Q36215
Jack Dorsey	0.268	programmer	http://www.wikidata.org/entity/Q335552
Elon Musk	0.220	programmer	http://www.wikidata.org/entity/Q317521
Paul G. Allen	0.182	programmer	http://www.wikidata.org/entity/Q162005
Satoshi Nakamoto	0.067	programmer	http://www.wikidata.org/entity/Q13382352
Ilya Segalovich	0.022	programmer	http://www.wikidata.org/entity/Q4412749
Markus Persson	-0.064	programmer	http://www.wikidata.org/entity/Q266224
Vitalik Buterin	-0.104	programmer	http://www.wikidata.org/entity/Q16197959
Julian Assange	-0.140	programmer	http://www.wikidata.org/entity/Q360
Aleksandr Tsoi	-0.231	programmer	http://www.wikidata.org/entity/Q28482308
Eugen Rochko	-0.244	programmer	http://www.wikidata.org/entity/Q64876086
Ada Lovelace	-0.455	programmer	http://www.wikidata.org/entity/Q7259
application programming interface	-0.698	programmer	http://www.wikidata.org/entity/Q165194
The Godfather Part II	0.927	crime film	http://www.wikidata.org/entity/Q184768
The Godfather	0.905	crime film	http://www.wikidata.org/entity/Q47703
Murder on the Orient Express	0.490	crime film	http://www.wikidata.org/entity/Q27689100
Glass Onion: A Knives Out Mystery	0.438	crime film	http://www.wikidata.org/entity/Q84712797
Death on the Nile	0.378	crime film	http://www.wikidata.org/entity/Q56816969
Knives Out	0.355	crime film	http://www.wikidata.org/entity/Q57982486
The Gentlemen	0.263	crime film	http://www.wikidata.org/entity/Q60614686
Casino Royale	0.240	crime film	http://www.wikidata.org/entity/Q151904
The Dark Knight	0.152	crime film	http://www.wikidata.org/entity/Q163872
Once Upon a Time in Hollywood	0.075	crime film	http://www.wikidata.org/entity/Q47300912
Red Dragon	0.000	crime film	http://www.wikidata.org/entity/Q9125658
Kingsman: The Golden Circle	-0.023	crime film	http://www.wikidata.org/entity/Q23780457
Amsterdam	-0.196	crime film	http://www.wikidata.org/entity/Q104830968
Batgirl	-0.471	crime film	http://www.wikidata.org/entity/Q109860581
Inventing Anna	-0.472	crime film	http://www.wikidata.org/entity/Q82396632
