	wdtEntity	category	categoryLabel	count	dbp_count
222	http://www.wikidata.org/entity/Q2635283	http://www.wikidata.org/entity/Q6419578	Category:Ukrainian-language surnames	3378	500
223	http://www.wikidata.org/entity/Q118865	http://www.wikidata.org/entity/Q7442754	Category:Clarinetists	3374	34
224	http://www.wikidata.org/entity/Q1823479	http://www.wikidata.org/entity/Q8590767	Category:Lighting designers	3374	75
225	http://www.wikidata.org/entity/Q3208559	http://www.wikidata.org/entity/Q25975202	Category:Candomblé temples	3357	7
226	http://www.wikidata.org/entity/Q18515558	http://www.wikidata.org/entity/Q6459394	Category:Futsal players	3349	11
227	http://www.wikidata.org/entity/Q1093580	http://www.wikidata.org/entity/Q7045203	Category:Chinese-language surnames	3328	360
228	http://www.wikidata.org/entity/Q17337766	http://www.wikidata.org/entity/Q9104325	Category:Theatre critics	3321	6
229	http://www.wikidata.org/entity/Q28861961	http://www.wikidata.org/entity/Q7779186	Category:Grand Cross of the Order of Civil Merit	3309	87
230	http://www.wikidata.org/entity/Q15977927	http://www.wikidata.org/entity/Q8265123	Category:Art educators	3281	113
231	http://www.wikidata.org/entity/Q1895303	http://www.wikidata.org/entity/Q7573839	Category:Foresters	3249	46
232	http://www.wikidata.org/entity/Q35657	http://www.wikidata.org/entity/Q6447755	Category:States of the United States	3203	112
233	http://www.wikidata.org/entity/Q758780	http://www.wikidata.org/entity/Q7062529	Category:Gardeners	3195	15
234	http://www.wikidata.org/entity/Q12902372	http://www.wikidata.org/entity/Q6483760	Category:Flautists	3149	25
235	http://www.wikidata.org/entity/Q28026639	http://www.wikidata.org/entity/Q6387443	Category:Christmas films	3146	24
236	http://www.wikidata.org/entity/Q18245236	http://www.wikidata.org/entity/Q8621251	Category:Radiologists	3111	8
237	http://www.wikidata.org/entity/Q19803234	http://www.wikidata.org/entity/Q8619100	Category:Members of the Chamber of Deputies of the Czech Republic	3104	12
238	http://www.wikidata.org/entity/Q19509201	http://www.wikidata.org/entity/Q8578665	Category:LGBT rights activists	3100	25
239	http://www.wikidata.org/entity/Q19603970	http://www.wikidata.org/entity/Q7780246	Category:Candidates of Philology	3005	0
