Item1,Item2,Item3,Item4,BestItem,WorstItem
Коралина в Стране Кошмаров,Братец медвежонок,Цветок тысяча одной ночи,Лиловый шар,Братец медвежонок,Коралина в Стране Кошмаров
Золушка,"Мэри Поппинс, до свидания!",Морозко,Я тоже хочу,Морозко,Я тоже хочу
"Мэри Поппинс, до свидания!",Золушка,Русалочка,Маленький Мук,Золушка,"Мэри Поппинс, до свидания!"
Три орешка для Золушки,Цветок тысяча одной ночи,Маленький Мук,Рапунцель: Запутанная история,Рапунцель: Запутанная история,Цветок тысяча одной ночи
Русалочка,Морозко,Лиловый шар,Я тоже хочу,Морозко,Я тоже хочу
Коралина в Стране Кошмаров,Золушка,Вечера на хуторе близ Диканьки,Рапунцель: Запутанная история,Коралина в Стране Кошмаров,Рапунцель: Запутанная история
Русалочка,Морозко,Лиловый шар,Я тоже хочу,Русалочка,Я тоже хочу
Золушка,Арабелла,Маленький Мук,Русалочка,Золушка,Арабелла
Золушка,Я тоже хочу,Арабелла,Маленький Мук,Арабелла,Я тоже хочу
Братец медвежонок,Три орешка для Золушки,Я тоже хочу,Золушка,Золушка,Я тоже хочу
Братец медвежонок,Три орешка для Золушки,Я тоже хочу,Золушка,Золушка,Я тоже хочу
Лиловый шар,Три орешка для Золушки,Приключения Паддингтона,Арабелла,Три орешка для Золушки,Лиловый шар
Золушка,"Мэри Поппинс, до свидания!",Морозко,Лиловый шар,Морозко,Лиловый шар
Цветок тысяча одной ночи,Багдадский вор,Обыкновенное чудо,"Мэри Поппинс, до свидания!","Мэри Поппинс, до свидания!",Багдадский вор
Лиловый шар,Красавица и Чудовище,Обыкновенное чудо,"Мэри Поппинс, до свидания!","Мэри Поппинс, до свидания!",Красавица и Чудовище
Лиловый шар,Красавица и Чудовище,Обыкновенное чудо,"Мэри Поппинс, до свидания!",Красавица и Чудовище,Лиловый шар
Лиловый шар,Красавица и Чудовище,Обыкновенное чудо,"Мэри Поппинс, до свидания!",Лиловый шар,"Мэри Поппинс, до свидания!"
Лиловый шар,Красавица и Чудовище,Обыкновенное чудо,"Мэри Поппинс, до свидания!",Красавица и Чудовище,"Мэри Поппинс, до свидания!"
Я тоже хочу,Братец медвежонок,Маленький Мук,Приключения Паддингтона,Приключения Паддингтона,Маленький Мук
Я тоже хочу,Братец медвежонок,Маленький Мук,Приключения Паддингтона,Приключения Паддингтона,Я тоже хочу
